Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Central African Republic,0,0,0,0,0,0,0,0,0,0,0.390259,1.431715,2.857232,5.044441,7.879889,13.445459,21.878594,29.237699,30.716726,38.3298,54.12997,37.600024,33.72152,18.619143,7.578862,31.567211,3.801503,14.433297,60.368182,57.70153,203.519851,58.557615,78.93813,112.02189,178.28629,118.71618,135.09844,142.72384,162.44957,139.89131,127.44083,124.97107,187.79487,287.79988,347.3839,386.53702,386.868351,300.73719,292.0526,348.45482,259.5655193,193.8089284,199.1551296,214.2243769,212.2068575,226.05694,234.5217972,427.4276,248.9706358,254.7127925,292.8659021,348.1378632
Chad,0,0,0,0,0,0,0,0,0,0,1.836463,2.144935,3.264371,5.639182,7.534651,9.326071,12.035571,15.67598,22.529149,32.27576,37.69443,35.87198,29.911903,30.449832,42.76725445,59.64858,74.89333,93.91732,86.26652,146.42953,39.258706,30.529977,39.396821,43.51552,52.052177,115.142444,60.284651,49.115654,54.517111,55.110028,62.434062,78.346098,75.283878,73.09111,46.560815,49.775116,54.084681,65.45668,37.98179,39.65003,65.8214982,63.1095203,53.7286632,53.6343929,1533.479417,2315.154164,107.0510548,1294.564429,1573.312535,157.1162464,158,2346
Chile,0,17.8,0,15,109,90,66,0,0,0,0,53.5,562.6,399,560.3,281,0,0,0,0,0,0,0,2850,4317,8764,7602,7767.2,7602,7303,6494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178,0.178,1.307,4.667,8.782,10.739,2.616,6.843,436.114,335.087,411.331,253.608,145.411,227.196,178.863,177.343,9.96,8.791,9.347,7.991,7.518,6.596,0.194,0.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,,,,,,,,,,,,,,,,0,0.035129,0.389677,1.479199,2.552092,0.002,0.054,0.288,0.412,1.873433,2.28877,7.119565,14.51025,22.33332,55.14221,37.75339,34.06573,31.05538,48,43,36.9701,44.11042,45.73321,51.9496,57.92904,78.52203,83.12639,89.14777,92.30127,107.3117,103.0752,108.77135,102.196,28.16693,26,64.514688,23.3282639,51.3396811,127.3774968,5.2630456,6.1812338,7.3369878,9.587837,9.4189805,10.891731,8.981734,6
Rep. Of Congo (Brazzaville),0,0,0,0,0,0,0,0,0,0,1.553974,3.938959,7.56586,12.502086,14.661164,17.589567,27.09503,40.80354,49.9601,25.61427,14.272297,13.006507,34.57618,53.6232,78.8939,171.32348,870.72592,371.2091,661.7977,1052.5879,2550.7775,1202.0947,1540.7766,1921.6819,3114.6377,1488.7879,3247.1105,1599.4433,3018.4268,2238.124,2498.2125,2699.2866,3123.589,3680.509,7913.493,3415.8685,3487.91345,3926.2297,2252.3475,626.613,2777.889294,279.5747533,230.2639468,248.4185311,237.2115645,221.5738713,650.6267363,1358.218478,450.6262257,2121.391375,1713.680006,3772.3
Dem. Rep. of Congo (Kinshasa),336,368.81,388.5975,407.385,428.1725,449.96,0,0,0,0,0,0,0,0.285626,6.7,94.321012,413,554.6,1702.6,2241.5,1039,657.1,667.9904,1669.4,269.7324,551.9,683.9,1341.5,2070.901112,2956.57144,1729.328218,2456.703529,3826.944905,4752.131543,6087.834541,8118.764421,8268.196008,8172.03998,8981.46379,8549.632349,8623.299152,8618.419471,10419.90647,4401.597638,1353.83923,1407.064451,1606.540656,1720.416231,2046.365103,2326.654735,7868.116671,407.0988184,183.5156864,186.9815505,161.1140488,154.5596827,216.5724349,245.1355469,56.8617849,396.9171723,41.2270882,88
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.35761589,49.19583728,52,54.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,3,0,0,3,0,0,0,0,0,0.008,0,0.209,0,0,0,0.615,0.909,0.017,2.416,285.886,923.161,713,308.85,645,1786.784,2236.138,2527.822,1895,2534.98,473.506,197.708,192.948,206.224,184.325,137.472,120.266,110.64,98.551,96.466,93.449,86.457,86.369,2.443,1.808,2.024,0.099,0.311,0.306,0.337,0.338,0.34,0.345,0.321,0,0,0,0,0,0,0
Côte d’Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123298,0.178353,0.160974,0,0.039254,0.087,0.511,8.178,4.106,162.07011,906.575,436,1071,4448.644608,4282.262119,5511.595085,5861.46227,6233.645632,6662.445996,7779.664847,8965.753051,7457.531413,7469.43147,9219.541616,7619.943617,188.289478,3125.524021,3717.333683,4604.653,3717.8907,4620.289,5193.491,6126.3823,7230.639,6893.363,8296.472,3991.733341,4682.538,7447.581995,646.1085981,202.3412336,397.0773721,223.9816421,24.7251059,23.4933606,35.2871589,133.0205627,150
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098,1268,1453,2620,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,69,288,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,917.2703492,678.8092648,807.594474,9420.371465,9774.719529,9895.54522,10915.23044,10365.86696,10543.56697,10783.47015,11063.3707,11531.27938,13225.63073,11840.51251,11748.2406,11859.06702,12134.34362,12293.37985,12182.65175,12599.46732,14220.44531,16673.49459,14550.75789,14822.3684,15233.98919,16168.08822,16370.86949,25627.44649,23174.53669,19177.78571,14788.59345,49247.20859,14003.6565,16551.08792,3975.990717,3823.553714,8109.010983,8008,10230.1839
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1242.5,0,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1698.236447,0,0,0,0,0,0,0,0
