"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2020","2020","PC","Percentage","0","Units",,,0.920833333333333,,
"AUS","Australia","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2021","2021","PC","Percentage","0","Units",,,1.48,,
"AUS","Australia","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2022","2022","PC","Percentage","0","Units",,,3.2075,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","1990","1990","PC","Percentage","0","Units",,,8.7275,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","1991","1991","PC","Percentage","0","Units",,,8.54666666666667,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","1992","1992","PC","Percentage","0","Units",,,8.13916666666666,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","1993","1993","PC","Percentage","0","Units",,,6.704325,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","1994","1994","PC","Percentage","0","Units",,,7.02546666666667,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","1995","1995","PC","Percentage","0","Units",,,7.135075,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","1996","1996","PC","Percentage","0","Units",,,6.32146666666667,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","1997","1997","PC","Percentage","0","Units",,,5.68284166666667,,
