"Real long term government bond yield, percent",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Hong Kong SAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.834489942,3.357579947,2.198760033,3.119539976,2.967910051,5.237460136,4.310850143,5.62322998,4.382800102,4.030200005,3.667109966,2.43302989,1.042729974,-0.258670002,1.385609984,0.520833015,-1.546488166,1.604725242,0.237692446,-3.256332159,-2.792076111,-2.367660046,-2.163728714,-1.301514864,-1.123390794,0.07312756,-0.233050987,-1.295375228,0.501787961
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.562042268,1.7406155,-0.71768633,-0.604845303,2.436633612,2.933434746,2.365681554,3.227387834,3.486131287,-0.94742806,3.200077206,5.111800308,2.210856294,3.458431352,2.016527061,3.526397523,4.168148394,2.746949142,1.708105915,-0.69001512,-0.689589697,-1.792189339,-1.812220777
Iceland,,,,,,,,,,,8.807490811,15.55621729,11.53332985,-0.22752306,-21.10344262,-27.03105809,-10.2410839,-8.520413165,-22.14337309,-23.84571577,-36.61635563,-28.93285015,-29.08802715,,-7.238895876,-10.44422586,0.65849451,8.702038176,8.700208339,13.97698006,6.424108984,8.287069854,3.789792758,2.7168772,3.46462328,5.52563424,3.362073593,3.695912144,3.030627807,1.05915845,0.229508972,-1.067208128,0.055503437,2.352245591,0.727810001,-0.270148393,-2.356882008,-0.10406243,-8.380117331,-7.706287076,-1.900273797,-1.044255075,-2.916309333,2.900355007,4.079000285,4.200715084,3.286948109,3.202432432,2.240892271,2.010481286,2.168487309
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.331540125,-1.713146067,2.987090632,5.595970537,1.887863489,3.863789657,4.320345963,4.333122888,-0.894109207,5.549503929,7.105170546,3.032935175,2.212514495,1.289785432,2.860902998,3.124980359,1.239403448,1.432793069,-2.04754375,-4.489413373,-2.506046907,-0.9393,-1.9898,-0.5224,2.1171,3.1949,2.6725,3.818189601,4.159678434,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.127832329,4.360520073,3.159134711,-2.925863325,3.697812782,2.020919105,5.257181773,2.465195587,0.68362827,1.209811319,2.041029498,1.398587858,2.383939725,4.445677823,2.509757023,4.733414031,4.2429765,3.853305058
Ireland,,,,,-0.788967013,1.209419966,3.973170042,3.868920088,2.594990015,1.438019991,1.309739947,0.743255973,1.030030012,0.179346994,-0.991158009,-5.440330029,-1.49289,0.35364601,5.310070038,0.685585976,-2.985330105,-2.973170042,-0.129063994,3.503089905,5.973830223,7.172369957,8.028730392,8.116250038,7.321899891,4.954979897,6.725190163,6.037749767,5.960390091,6.29982996,5.823579788,5.781489849,5.327020168,5.239769936,2.864200115,2.264679909,0.176251185,1.115465964,0.301298836,0.140074442,1.765995563,1.119340796,1.123960387,1.430040303,1.430940038,6.913288996,7.61172618,8.382073805,4.099867317,3.290653757,1.954983078,1.171647229,0.862543761,0.533648965,0.428751145,-0.535001654,1.000930557
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.966504924,5.988702349,3.766048834,7.194651215,6.723486145,3.868791375,4.160130006,4.987263344,1.202251182,1.710598309,1.999596643,1.383890132,2.237497687,2.271249951,2.417130087,2.642410956,2.378221815,1.747943252,1.170366459,0.612779921,1.36244035
Italy,2.654409885,2.11687994,0.019973001,-2.246599913,-0.069270998,1.11582005,3.548369884,3.659960032,4.425469875,3.072590113,2.735399961,2.129899979,1.041100025,-3.429800034,-10.21440029,-6.97826004,-3.910670042,-3.390059948,0.733120978,-2.617739916,-5.845580101,1.455240011,3.741810083,3.598200083,4.838210106,4.539690018,5.570000172,5.858560085,5.490409851,4.458069801,5.012889862,6.879839897,8.187379837,6.833040237,6.537179947,6.963260174,5.439919949,4.965779781,2.902529955,3.070640087,2.995115987,2.864474231,2.422679652,1.435549914,2.001708307,1.347946572,1.817117304,2.462327882,1.188966921,3.545907585,2.416289002,2.487483072,2.177494577,3.080730844,2.659013798,1.605456797,1.536420834,0.787226632,1.257406188,0.786008291,0.965384056
Japan,,,,,,,1.780339956,2.934619904,1.663630009,1.848240018,-0.418469012,1.001049995,1.729949951,-4.356329918,-13.92370033,-2.540149927,-0.697300017,-0.813463986,1.911620021,3.965379953,1.062029958,3.463229895,5.568470001,5.9384799,5.052869797,4.504779816,4.685900211,4.902810097,4.169980049,2.869469881,3.906800032,3.056139946,3.383719921,2.725879908,3.601000071,3.39309001,2.915309906,0.259793997,0.712071002,2.013740063,2.445333161,2.037432591,2.170973141,1.256533924,1.514324145,1.685013431,1.498470554,1.642708294,0.111713858,2.685597388,1.926698194,1.402358295,0.90656129,0.384084728,-2.204360132,-0.413062249,0.072471273,-0.436558341,-0.920796286,-0.565117259,0.031209956
"Korea, Republic of",,,,,,,,,,,,,,13.58453096,-3.337529547,-4.149256459,6.289349561,11.37000464,7.139714974,6.859833663,0.060721394,2.265029731,9.8680755,10.33774871,12.05109086,11.43975224,8.849760334,8.860426283,5.224796052,8.680451336,6.458686529,7.128876185,8.865885203,7.269836731,6.028307166,7.915092248,6.667123124,7.731068154,5.666419919,7.780688829,6.412704533,2.139069204,3.500317897,1.244711902,0.759335095,1.769442456,2.716670881,2.746697345,0.690021195,1.878632872,1.365651057,-0.131679754,1.057705622,1.698356455,1.565114536,1.270419311,0.560205343,0.058730525,0.8329919,1.208080363,0.697098893
